年份,y,x1,x2,x3
1978,519.28,3645.217474,1122.09,100.7
1979,537.82,4062.579191,1281.79,102
1980,571.7,4545.623973,1228.83,106
1981,629.89,4891.561062,1138.41,102.4
1982,700.02,5323.350965,1229.98,101.9
1983,775.59,5962.651568,1409.52,101.5
1984,947.35,7208.051718,1701.02,102.8
1985,2040.79,9016.036581,2004.25,108.8
1986,2090.73,10275.17922,2204.91,106
1987,2140.36,12058.61513,2262.18,107.3
1988,2390.47,15042.82301,2491.21,118.5
1989,2727.4,16992.31911,2823.78,117.8
1990,2821.86,18667.82238,3083.59,102.1
1991,2990.17,21781.49941,3386.62,102.9
1992,3296.91,26923.47645,3742.2,105.4
1993,4255.3,35333.92471,4642.3,113.2
1994,5126.88,48197.85644,5792.62,121.7
1995,6038.04,60793.72921,6823.72,114.8
1996,6909.82,71176.59165,7937.55,106.1
1997,8234.04,78973.035,9233.56,100.8
1998,9262.8,84402.27977,10798.18,97.4
1999,10682.58,89677.05475,13187.67,97
2000,12581.51,99214.55431,15886.5,98.5
2001,15301.38,109655.1706,18902.58,99.2
2002,17636.45,120332.6893,22053.15,98.7
2003,20017.31,135822.7561,24649.95,99.9
2004,24165.68,159878.3379,28486.89,102.8
2005,28778.54,184937.369,33930.28,100.8
2006,34804.35,216314.4259,40422.73,101
2007,45621.97,265810.3058,49781.35,105.9
2008,54223.79,314045.4271,62592.66,98.8
2009,59521.59,340902.8126,76299.93,103.1
2010,73210.79,401512.7952,89874.16,104.9
2011,89738.39,472881.5578,109247.79,103.8
