年份,财政收入y,农业x1,工业x2,建筑业x3,人口x4,最终消费x5,受灾面积x6
1978,1132.26,1027.5,1607,138.2,96259,2239.1,50790
1979,1146.4,1270.2,1769.7,143.8,97542,2633.7,39370
1980,1159.93,1371.6,1996.5,195.5,98705,3007.9,44526
1981,1175.8,1559.5,2048.4,207.1,100072,3361.5,39790
1982,1212.3,1777.4,2162.3,220.7,101654,3714.8,33130
1983,1367,1978.4,2375.6,270.6,103008,4126.4,34710
1984,1642.9,2316.1,2789,316.7,104357,4846.3,31890
1985,2004.82,2564.4,3448.7,417.9,105851,5986.3,44365
1986,2122,2788.7,3967,525.7,107507,6821.8,47140
1987,2199.4,3233,4585.8,665.8,109300,7804.6,42090
1988,2357.2,3865.4,5777.2,810,111026,9839.5,50870
1989,2664.9,4265.9,6484,794,112704,11164.2,46991
1990,2937.1,5062,6858,859.4,114333,12090.5,38474
1991,3149.48,5342.2,8087.1,1015.1,115823,14091.9,55472
1992,3483.37,5866.6,10284.5,1415,117171,17203.3,51333
1993,4348.95,6963.8,14188,2266.5,118517,21899.9,48829
1994,5218.1,9572.7,19480.7,2964.7,119850,29242.2,55043
1995,6242.2,12135.8,24950.6,3728.8,121121,36748.2,45821
1996,7407.99,14015.4,29447.6,4387.4,122389,43919.5,46989
1997,8651.14,14441.9,32921.4,4621.6,123626,48140.6,53429
1998,9875.95,14817.6,34018.4,4985.8,124761,51588.2,50145
1999,11444.08,14770,35861.5,5172.1,125786,55636.9,49981
2000,13395.23,14944.7,4003.6,5522.3,126743,61516,54688
2001,16386.04,15781.3,43580.6,5931.7,127627,66878.3,52215
2002,18903.64,16537,47431.3,6465.5,128453,71691.2,47119
2003,21715.25,17381.7,54945.5,7490.8,129227,77449.5,54506
2004,26396.47,21412.7,65210,8694.3,129988,87032.9,37106
2005,31649.29,22420,76912.9,10133.8,130756,97822.7,38818
2006,38760.2,24040,91310.9,11851.1,131448,110595.3,41091
2007,51321.78,28095,107367.2,14014.1,132129,128444.6,48992
