年份,国内旅游收入,国内旅游人数,城镇居民人均旅游支出,农村居民人均旅游支出,公路里程,铁路里程
1994,1023.51,52400,414.67,54.88,111.78 ,5.90 
1995,1375.7,62900,464.02,61.47,115.70 ,5.97 
1996,1638.38,63950,534.1,70.45,118.58 ,6.49 
1997,2112.7,64400,599.8,145.68,122.64 ,6.60 
1998,2391.18,69500,607,197,127.85 ,6.64 
1999,2831.92,71900,614.8,249.5,135.17 ,6.74 
2000,3175.54,74400,678.6,226.6,140.27 ,6.87 
2001,3522.37,78400,708.3,212.7,169.80 ,7.01 
2002,3878.36,87800,739.7,209.1,176.52 ,7.19 
2003,3442.27,87000,684.9,200,180.98 ,7.30 
2004,4710.71,110200,731.8,210.2,187.07 ,7.44 
2005,5285.86,121200,737.1,227.6,334.52 ,7.54 
2006,6229.7,139400,766.4,221.9,345.70 ,7.71 
2007,7770.6,161000,906.9,222.5,358.37 ,7.80 
2008,8749.295918,171200,849.3617524,275.28,373.02 ,7.97 
2009,10183.7,190200,801.1,295.3,386.08 ,8.55 
2010,12579.77,210300,883,306,400.82 ,9.12 
