"序号","yi","xi","xi的等级","ei","|ei|","|ei|的等级","di","di2"
1,264,8777,1,169.0,169.0,17,-16,256
2,105,9210,2,-27.7,27.7,2,0,0
3,90,9954,3,-107.3,107.3,9,-6,36
4,131,10508,4,-114.5,114.5,11,-7,49
5,122,10979,5,-164.4,164.4,15,-10,100
6,107,11912,6,-260.5,260.5,23,-17,289
7,406,12747,7,-34.1,34.1,3,4,16
8,503,13499,8,-2.5,2.5,1,7,49
9,431,14269,9,-141.4,141.4,13,-4,16
10,588,15522,10,-93.4,93.4,7,3,9
11,898,16730,11,111.6,111.6,10,1,1
12,950,17633,12,85.1,85.1,5,7,49
13,779,18575,13,-167.7,167.7,16,-3,9
14,819,19635,14,-219.9,219.9,21,-7,49
15,1222,21163,15,50.3,50.3,4,11,121
16,1702,22880,16,381.0,381.0,28,-11,121
17,1578,24127,17,148.6,148.6,14,4,16
18,1654,25604,18,96.2,96.2,8,11,121
19,1400,26500,19,-235.7,235.7,22,-2,4
20,1829,27670,21,91.6,91.6,6,16,256
21,2200,28300,23,407.9,407.9,29,-5,25
22,2017,27430,20,300.5,300.5,25,-4,16
23,2105,29560,24,203.3,203.3,20,5,25
24,1600,28150,22,-179.1,179.1,19,4,16
25,2250,32100,25,127.5,127.5,12,14,196
26,2420,32500,26,262.8,262.8,24,3,9
27,2570,35250,28,173.7,173.7,18,10,100
28,1720,22500,27,432.1,432.1,30,-14,196
29,1900,36000,29,-561.5,561.5,31,-2,4
30,2100,36200,30,-378.9,378.9,27,3,9
31,2300,38200,31,-352.7,352.7,26,5,25
